Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-21-2020,765409,20845,707784
Morocco,11-21-2020,320962,5256,266711
Egypt,11-21-2020,112676,6535,101783
Ethiopia,11-21-2020,105352,1636,65534
Tunisia,11-21-2020,87471,2752,61402
Libya,11-21-2020,76808,1068,47587
Kenya,11-21-2020,76404,1366,51352
Algeria,11-21-2020,73774,2255,48183
Nigeria,11-21-2020,66228,1166,61884
Ghana,11-21-2020,50717,323,49281
Cameroon,11-21-2020,23528,435,22177
Cote d'Ivoire,11-21-2020,21126,129,20777
Uganda,11-21-2020,17667,168,8611
Zambia,11-21-2020,17394,356,16659
Madagascar,11-21-2020,17310,250,16592
Senegal,11-21-2020,15865,330,15465
Sudan,11-21-2020,15839,1193,9727
Mozambique,11-21-2020,14981,123,13151
Angola,11-21-2020,14413,336,7273
Namibia,11-21-2020,13811,145,13209
Guinea,11-21-2020,12798,75,11821
Congo (Kinshasa),11-21-2020,12180,327,11300
Cabo Verde,11-21-2020,10234,104,9649
Botswana,11-21-2020,9594,31,7296
Zimbabwe,11-21-2020,9172,265,8235
Gabon,11-21-2020,9131,59,8976
Mauritania,11-21-2020,8096,169,7573
Eswatini,11-21-2020,6205,119,5850
Malawi,11-21-2020,6003,185,5441
Djibouti,11-21-2020,5661,61,5552
Congo (Brazzaville),11-21-2020,5632,93,3887
Rwanda,11-21-2020,5620,46,5163
Equatorial Guinea,11-21-2020,5130,85,4975
Central African Republic,11-21-2020,4911,63,1924
Somalia,11-21-2020,4382,108,3384
Mali,11-21-2020,4206,143,3012
Gambia,11-21-2020,3726,123,3582
South Sudan,11-21-2020,3047,60,1290
Benin,11-21-2020,2916,43,2579
Togo,11-21-2020,2829,64,2209
Burkina Faso,11-21-2020,2703,68,2521
Guinea-Bissau,11-21-2020,2421,43,2286
Sierra Leone,11-21-2020,2405,74,1827
Lesotho,11-21-2020,2085,44,1276
Chad,11-21-2020,1633,101,1469
Liberia,11-21-2020,1551,82,1331
Niger,11-21-2020,1351,70,1158
Sao Tome and Principe,11-21-2020,979,17,920
Burundi,11-21-2020,656,1,575
Comoros,11-21-2020,596,7,572
Eritrea,11-21-2020,551,0,473
Tanzania,11-21-2020,509,21,183
Mauritius,11-21-2020,494,10,433
Seychelles,11-21-2020,163,0,159
Western Sahara,11-21-2020,10,1,8
